code_pathologie;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;annee
Pathologie, traitement ou événement de santé;Effectif;Total des dépenses;Total soins de ville;Soins de médecins ;Soins infirmiers;Soins de kinésithérapie;Autres professionnels de santé;Médicaments;Autres produits de santé;Biologie;Transports;Autres dépenses de soins de ville;Total hospitalisations;dont hospitalisations MCO;Total prestations en espèces;dont indemnités journalières maladie et AT/MP;2015
Maternité (avec ou sans pathologies);1318900;8324242000;1160618000;312195000;21461000;29130000;314156000;119614000;107815000;246979000;8215000;1053000;3698572000;3375918000;3465052000;514416000;2016
Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité);9665000;36233652000;5224651000;1642151000;457042000;389661000;284634000;1052318000;548713000;309137000;517426000;23570000;27514739000;22414147000;3494262000;3057899000;2016
Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations);1318300;1403047000;753633000;325350000;12993000;60076000;76263000;196144000;41303000;29089000;6350000;6066000;86686000;11059000;562728000;412320000;2016
Pas de pathologie, traitement, maternité, hospitalisation ou traitement antalgique ou anti-inflammatoire;35164800;10571069000;6620682000;2496821000;64381000;341621000;1728902000;1125807000;389859000;357990000;69220000;46080000;915312000;127087000;3035076000;1793862000;2016
Consommation courante de soins;;5385650000;4959878000;2190225000;58750000;593443000;771802000;449769000;291992000;597365000;;6532000;;;425772000;425772000;2016
Total;64780397;1,5671E+11;65180174000;13616381000;6960142000;3657216000;4522233000;22614783000;6374187000;2989966000;4149647000;295620000;68648346000;47252145000;22881759000;10617638000;2016
Pathologie, traitement ou événement de santé;Effectif;Total des dépenses;Total soins de ville;Soins de médecins ;Soins infirmiers;Soins de kinésithérapie;Autres professionnels de santé;Médicaments;Autres produits de santé;Biologie;Transports;Autres dépenses de soins de ville;Total hospitalisations;dont hospitalisations MCO;Total prestations en espèces;dont indemnités journalières maladie et AT/MP;2017
Syndrome coronaire aigu;97700;966831000;111586000;27049000;3423000;1449000;1721000;44031000;6027000;3753000;23846000;286000;800147000;691358000;55098000;44483000;2017
Maladie coronaire chronique;1922800;3386162000;1845557000;391580000;201470000;58171000;44999000;848612000;148831000;77213000;63428000;11253000;1063282000;844310000;477323000;92384000;2017
Accident vasculaire cérébral aigu;120700;1513403000;138557000;15703000;23459000;12959000;8806000;17475000;11697000;2594000;45598000;266000;1333331000;857250000;41515000;33181000;2017
Séquelle d'accident vasculaire cérébral;793900;2211779000;1321858000;110655000;370248000;178064000;69293000;218485000;142299000;26037000;203203000;3576000;548047000;179839000;341873000;57086000;2017
Insuffisance cardiaque aiguë;189300;1287336000;340228000;22120000;149681000;12548000;512000;47855000;58270000;12839000;36259000;145000;933863000;810054000;13245000;3913000;2017
Insuffisance cardiaque chronique;652100;1359616000;1161735000;87411000;487104000;57774000;5737000;267168000;158072000;45396000;51373000;1700000;119854000;36035000;78027000;8129000;2017
Artériopathie périphérique;723000;2117188000;871227000;140902000;208455000;33439000;11509000;259917000;124367000;26305000;63065000;3268000;1050615000;869099000;195347000;40846000;2017
Troubles du rythme ou de la conduction cardiaque;1809100;2944844000;1164228000;229089000;208057000;53183000;26887000;395679000;111267000;69850000;64244000;5972000;1633442000;1482888000;147175000;44906000;2017
Maladie valvulaire;447800;1234860000;234962000;59579000;37040000;11540000;6488000;47714000;21367000;27631000;22305000;1298000;945916000;837393000;53982000;15459000;2017
Embolie pulmonaire;42700;229367000;41657000;8884000;3821000;1057000;510000;16428000;4596000;2380000;3898000;82000;175820000;156166000;11890000;10608000;2017
Autres affections cardiovasculaires;371800;503473000;279428000;42458000;36866000;9071000;8837000;104850000;40279000;9399000;27060000;609000;165451000;116299000;58594000;16547000;2017
Traitements antihypertenseurs (hors pathologies);7282500;4373989000;3226713000;870503000;294435000;183528000;200931000;1152404000;315018000;133299000;30432000;46163000;170032000;18453000;977244000;355004000;2017
Traitements hypolipémiants (hors pathologies);3291200;1622262000;1170809000;328456000;26986000;59565000;84833000;502502000;85231000;54215000;7558000;21464000;54449000;1598000;397004000;98132000;2017
Diabète;3752300;8174315000;6620934000;670631000;1502000000;128438000;108717000;2393129000;1451777000;236169000;108830000;21243000;740184000;463832000;813197000;186732000;2017
Cancer du sein de la femme actif;226500;2596177000;977254000;261409000;32479000;30883000;5621000;395915000;25793000;27028000;196213000;1915000;1420513000;1256082000;198410000;160668000;2017
Cancer du sein de la femme sous surveillance;469300;504908000;318830000;90755000;16485000;40610000;14415000;96074000;19703000;18374000;17518000;4896000;53461000;15262000;132617000;18453000;2017
Cancer colorectal actif;161600;1515796000;323857000;64225000;50556000;3096000;2600000;74743000;58717000;17929000;51516000;475000;1135257000;985721000;56682000;36242000;2017
Cancer colorectal sous surveillance;197300;204356000;131094000;26272000;24648000;5564000;4164000;19668000;36331000;7414000;6140000;894000;33794000;13942000;39468000;4277000;2017
Cancer bronchopulmonaire actif;93700;1801789000;562385000;78783000;25505000;4249000;1044000;336026000;22455000;12375000;81701000;247000;1152383000;989676000;87021000;44288000;2017
Cancer bronchopulmonaire sous surveillance;46900;96617000;34204000;8253000;3232000;2118000;950000;8862000;4981000;1378000;4200000;229000;11918000;1656000;50495000;2375000;2017
Cancer de la prostate actif;224400;1443443000;900849000;238902000;29185000;9944000;4491000;477939000;20781000;20506000;98140000;961000;498898000;414412000;43696000;17599000;2017
